x,y,value,discipline,country
William Bottini,Dec 16-31,4,1,7
William Bottini,Jan 1-15,6,1,7
William Bottini,Jan 16-31,4,1,7
William Bottini,Feb 1-14,4,2,7
William Bottini,Feb 15-28,7,2,7
William Bottini,Mar 1-15,11,2,7
William Bottini,Mar 16-31,17,2,7
William Bottini,Apr 1-15,5,2,7
William Bottini,Apr 16-30,2,2,7
William Bottini,May 1-now,6,2,7
Xuefei Bai,Sep 1-15,1,3,1
Xuefei Bai,Sep 16-30,8,3,1
Xuefei Bai,Oct 1-15,9,3,1
Xuefei Bai,Oct 16-31,3,3,1
Xuefei Bai,Nov 1-15,9,3,1
Xuefei Bai,Nov 15-30,2,3,1
Xuefei Bai,Dec 1-15,13,3,1
Xuefei Bai,Dec 16-31,10,3,1
Xuefei Bai,Jan 1-15,13,3,1
Xuefei Bai,Jan 16-31,10,3,1
Xuefei Bai,Feb 1-14,4,2,7
Xuefei Bai,Feb 15-28,7,2,7
Xuefei Bai,Mar 1-15,11,2,7
Xuefei Bai,Mar 16-31,17,2,7
Xuefei Bai,Apr 1-15,5,2,7
Xuefei Bai,Apr 16-30,2,2,7
Xuefei Bai,May 1-now,6,2,7
Xueting Wang,Sep 1-15,2,3,1
Xueting Wang,Sep 16-30,5,3,1
Xueting Wang,Oct 1-15,6,3,1
Xueting Wang,Oct 16-31,4,3,1
Xueting Wang,Nov 1-15,3,3,1
Xueting Wang,Nov 15-30,20,3,1
Xueting Wang,Dec 1-15,18,3,1
Xueting Wang,Dec 16-31,11,3,1
Xueting Wang,Jan 1-15,18,3,1
Xueting Wang,Jan 16-31,11,3,1
Xueting Wang,Feb 1-14,4,2,7
Xueting Wang,Feb 15-28,7,2,7
Xueting Wang,Mar 1-15,11,2,7
Xueting Wang,Mar 16-31,17,2,7
Xueting Wang,Apr 1-15,5,2,7
Xueting Wang,Apr 16-30,2,2,7
Xueting Wang,May 1-now,6,2,7
Yisha Dai,Sep 1-15,3,1,1
Yisha Dai,Sep 16-30,2,1,1
Yisha Dai,Oct 1-15,5,1,1
Yisha Dai,Oct 16-31,7,1,1
Yisha Dai,Nov 1-15,6,1,1
Yisha Dai,Nov 15-30,9,1,1
Yisha Dai,Dec 1-15,15,1,1
Yisha Dai,Dec 16-31,19,1,1
Yisha Dai,Jan 1-15,15,1,1
Yisha Dai,Jan 16-31,19,1,1
Yisha Dai,Feb 1-14,4,2,7
Yisha Dai,Feb 15-28,7,2,7
Yisha Dai,Mar 1-15,11,2,7
Yisha Dai,Mar 16-31,17,2,7
Yisha Dai,Apr 1-15,5,2,7
Yisha Dai,Apr 16-30,2,2,7
Yisha Dai,May 1-now,6,2,7
Yunwen Tu,Sep 1-15,2,2,1
Yunwen Tu,Sep 16-30,7,2,1
Yunwen Tu,Oct 1-15,11,2,1
Yunwen Tu,Oct 16-31,12,2,1
Yunwen Tu,Nov 1-15,8,2,1
Yunwen Tu,Nov 15-30,14,2,1
Yunwen Tu,Dec 1-15,16,2,1
Yunwen Tu,Dec 16-31,17,2,1
Yunwen Tu,Jan 1-15,16,2,1
Yunwen Tu,Jan 16-31,17,2,1
Yunwen Tu,Feb 1-14,4,2,7
Yunwen Tu,Feb 15-28,7,2,7
Yunwen Tu,Mar 1-15,11,2,7
Yunwen Tu,Mar 16-31,17,2,7
Yunwen Tu,Apr 1-15,5,2,7
Yunwen Tu,Apr 16-30,2,2,7
Yunwen Tu,May 1-now,6,2,7
